Country,Coal Revenue,Forest Revenue,Energy Consumption,Metric Tons of CO2,Barrels per Day of Petroleum
Ireland,0.0,0.01,133674000.0,35475000.0,64970
Israel,0.0,0.0,113273000.0,61092000.0,294300
Italy,0.0,0.01,112606000.0,332041000.0,1607000
Jamaica,0.0,0.15,49700000.0,10002000.0,24250
Japan,0.0,0.02,147107000.0,1103234000.0,3467000
Jordan,0.0,0.02,39331000.0,23470000.0,67240
Kenya,0.0,1.3,6310000.0,17709000.0,13960
Kiribati,0.0,0.04,9335000.0,76000.0,0
"Korea, South",0.0,0.01,242346000.0,686954000.0,3302000
Kuwait,0.0,0.0,381985000.0,92582000.0,915800
Latvia,0.0,0.85,86645000.0,8450000.0,0
Lebanon,0.0,0.0,53528000.0,25838000.0,0
Lesotho,0.0,3.34,7823000.0,736000.0,0
Liberia,0.0,13.27,3790000.0,1346000.0,0
Libya,0.0,0.06,107118000.0,38297000.0,89620
Lithuania,0.0,0.31,101651000.0,14503000.0,196500
Luxembourg,0.0,0.01,310068000.0,11308000.0,0
Macau,0.0,0.0,81407000.0,2012000.0,0
Madagascar,0.0,4.34,2307000.0,4218000.0,0
Maldives,0.0,0.0,59690000.0,2286000.0,0
Mali,0.0,2.02,4396000.0,5679000.0,0
Malta,0.0,0.0,267739000.0,9576000.0,0
Mauritania,0.0,1.3,13558000.0,4041000.0,0
Mauritius,0.0,0.0,79448000.0,7191000.0,0
Moldova,0.0,0.26,40398000.0,8114000.0,232
Morocco,0.0,0.13,24590000.0,60200000.0,66230
Namibia,0.0,0.47,29811000.0,3831000.0,0
Nepal,0.0,0.45,5219000.0,7708000.0,0
Netherlands,0.0,0.01,219606000.0,214416000.0,1282000
Nicaragua,0.0,1.26,14916000.0,4851000.0,14720
Nigeria,0.0,1.02,8466000.0,104494000.0,35010
North Macedonia,0.0,0.15,53572000.0,7383000.0,0
Norway,0.0,0.05,333833000.0,36731000.0,371600
Oman,0.0,0.0,292022000.0,76321000.0,229600
Panama,0.0,0.08,98946000.0,25263000.0,0
Papua New Guinea,0.0,2.08,11316000.0,6491000.0,22170
Paraguay,0.0,1.21,62775000.0,7896000.0,0
Peru,0.0,0.12,36465000.0,54996000.0,166600
Portugal,0.0,0.13,101734000.0,50370000.0,323000
Puerto Rico,0.0,0.0,94379000.0,18999000.0,0
Qatar,0.0,0.0,723582000.0,111922000.0,273800
Rwanda,0.0,3.75,1704000.0,1189000.0,0
Saint Kitts and Nevis,0.0,0.0,71960000.0,268000.0,0
Saint Lucia,0.0,0.01,50872000.0,659000.0,0
